Provinsi,Kabupaten/Kota,NIK,Nama,Tempat Tanggal Lahir,Jenis Kelamin,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Agama,Status Perkawinan,Pekerjaan,Kewarganegaraan,Berlaku Hingga,Gol. Darah,Tanggal KTP Dikeluarkan,Usia
PROVINSI SUMATERA UTARA,KOTA TANJUNGPINANG,2912541012827585,PUPUT NUGROHO,"SURABAYA, 27-01-1950",PEREMPUAN,GANG PHH. MUSTOFA NO. 2,010/020,PALANGKARAYA,BALIKPAPAN,KATOLIK,KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,AB,25-05-2024,76
PROVINSI DI YOGYAKARTA,KABUPATEN TEGAL,9219782108637946,TIRTA SITOMPUL,"TANJUNGBALAI, 25-03-1947",LAKI-LAKI,GANG CIWASTRA NO. 82,016/012,AMBON,BENGKULU,KONGHUCU,KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,AB,03-07-2022,79
PROVINSI SULAWESI SELATAN,KOTA BOGOR,9334841404916304,CINTA HABIBI,"BINJAI, 20-04-1964",LAKI-LAKI,JL. RAJAWALI BARAT NO. 0,011/020,PURWOKERTO,PALANGKARAYA,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,B,28-08-2021,62
PROVINSI DI YOGYAKARTA,KOTA TANGERANG SELATAN,,CATURANGGA YOLANDA,"DEPOK, 15-07-1962",PEREMPUAN,JALAN W.R. SUPRATMAN NO. 3,011/018,CIMAHI,GORONTALO,KONGHUCU,KAWIN,GURU/DOSEN,WNI,SEUMUR HIDUP,AB,11-03-2023,64
PROVINSI KALIMANTAN TIMUR,KOTA BANDUNG,2996430512850082,"T.IRWAN YOLANDA, M.FARM","TERNATE, 06-04-1964",LAKI-LAKI,GG. MT HARYONO NO. 308,015/015,PANGKALPINANG,PADANGPANJANG,KONGHUCU,KAWIN,BURUH,WNI,SEUMUR HIDUP,A,16-07-2022,62
PROVINSI KALIMANTAN TIMUR,KABUPATEN AMBON,1769271401856907,ELVINA SAPUTRA,"MAGELANG, 20-07-2004",LAKI-LAKI,JL. RONGGOWARSITO NO. 4,019/010,JAYAPURA,SERANG,BUDHA,CERAI HIDUP,GURU/DOSEN,WNI,SEUMUR HIDUP,B,09-09-2025,22
PROVINSI JAWA BARAT,KABUPATEN TEGAL,9662132806982369,T. MARSUDI PANGESTU,"PEKALONGAN, 05-12-1950",PEREMPUAN,JL. CIUMBULEUIT NO. 7,002/015,PRABUMULIH,PASURUAN,KATOLIK,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,AB,14-06-2023,76
PROVINSI SUMATERA UTARA,KABUPATEN SALATIGA,7875171907858840,MUJUR HARIYAH,"PADANG SIDEMPUAN, 03-12-1990",LAKI-LAKI,JL. JAKARTA NO.,016/002,BATAM,SABANG,KRISTEN,CERAI MATI,PETANI,WNI,SEUMUR HIDUP,AB,14-04-2022,36
PROVINSI DI YOGYAKARTA,KABUPATEN DEPOK,8702371710891153,JESSICA FARIDA,"PASURUAN, 25-06-1956",PEREMPUAN,GANG YOS SUDARSO NO. 753,010/003,PEMATANGSIANTAR,JAMBI,KONGHUCU,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,A,05-12-2023,70
PROVINSI JAWA TENGAH,KOTA KOTA ADMINISTRASI JAKARTA SELATAN,2743182010774670,DR: INTAN WAHYUDIN,"PADANG, 08-12-1989",PEREMPUAN,JL. SUKAJADI NO. 3,018/005,PAGARALAM,JAKARTA PUSAT,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,,28-04-2021,37
PROVINSI JAWA BARAT,KABUPATEN TANJUNGBALAI,,"CUT RAHMI UYAINAH, S.KOM","LHOKSEUMAWE, 18-02-2006",LAKI-LAKI,JALAN ERLANGGA NO. 9,013/006,KOTAMOBAGU,PALU,KONGHUCU,CERAI HIDUP,GURU/DOSEN,WNI,SEUMUR HIDUP,A,08-04-2025,20
PROVINSI KALIMANTAN TIMUR,KOTA BUKITTINGGI,5072201311610135,MAHDI WIDODO,"SUNGAI PENUH, 15-08-2006",LAKI-LAKI,GG. SENTOT ALIBASA NO. 605,002/014,BANDA ACEH,SUKABUMI,HINDU,BELUM KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,,27-08-2021,20
PROVINSI DKI JAKARTA,KOTA PAYAKUMBUH,4579342508795684,PAULIN SAEFULLAH,"BUKITTINGGI, 26-08-2003",PEREMPUAN,GANG TEBET BARAT DALAM NO.,006/011,BAU-BAU,SUNGAI PENUH,BUDHA,CERAI HIDUP,TIDAK BEKERJA,WNI,SEUMUR HIDUP,AB,13-02-2023,23
PROVINSI DI YOGYAKARTA,KABUPATEN BLITAR,3315890905829113,BAGYA HASANAH,"MAKASSAR, 29-04-1949",PEREMPUAN,JALAN M.H THAMRIN NO. 31,017/015,MEULABOH,PALOPO,KONGHUCU,KAWIN,PETANI,WNI,SEUMUR HIDUP,A,18-12-2021,77
PROVINSI JAWA BARAT,KABUPATEN BLITAR,8206150804661264,MAIDA PERMATA,"PONTIANAK, 31-10-1968",PEREMPUAN,JALAN AHMAD YANI NO,016/002,TEGAL,MEDAN,KRISTEN,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,B,09-03-2021,58
PROVINSI JAWA BARAT,KABUPATEN BANJAR,8628891706824026,ASMADI MAHENDRA,"LANGSA, 08-03-1972",LAKI-LAKI,JALAN MT HARYONO NO. 0,001/007,JAYAPURA,JAKARTA UTARA,KONGHUCU,BELUM KAWIN,PETANI,WNI,SEUMUR HIDUP,AB,29-11-2023,54
PROVINSI DI YOGYAKARTA,KABUPATEN SURAKARTA,3164132211894855,PAIMAN SARAGIH,"PROBOLINGGO, 11-12-1987",LAKI-LAKI,GG. WONOAYU NO. 4,013/015,SABANG,TASIKMALAYA,ISLAM,BELUM KAWIN,GURU/DOSEN,WNI,SEUMUR HIDUP,AB,27-04-2024,39
PROVINSI JAWA TENGAH,KOTA BANDA ACEH,9932411606832007,DODO HASSANAH,"PONTIANAK, 14-10-1989",PEREMPUAN,GG. SUKAJADI NO. 515,002/006,SURAKARTA,CILEGON,KATOLIK,BELUM KAWIN,DOKTER,WNI,SEUMUR HIDUP,AB,29-11-2025,37
PROVINSI JAWA TENGAH,KABUPATEN SINGKAWANG,2807282705614293,"R. VIVI LAKSITA, S.KOM","BANDUNG, 23-01-1964",PEREMPUAN,JL. KH. WAHID HASYIM NO.,010/011,GORONTALO,MAGELANG,ISLAM,CERAI HIDUP,TIDAK BEKERJA,WNI,SEUMUR HIDUP,,04-03-2024,62
PROVINSI SULAWESI SELATAN,KABUPATEN PARIAMAN,2455872805920192,KAMILA SURYONO,"TANJUNGPINANG, 25-02-2001",PEREMPUAN,JALAN INDRAGIRI NO,006/007,KENDARI,PROBOLINGGO,BUDHA,BELUM KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,A,22-01-2026,25
PROVINSI JAWA BARAT,KOTA BAU-BAU,8107841811878645,RUSMAN SUWARNO,"BEKASI, 17-08-1999",LAKI-LAKI,JL. JAMIKA NO. 4,009/012,SAMARINDA,SEMARANG,KRISTEN,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,,23-06-2023,27
PROVINSI JAWA TIMUR,KOTA PRABUMULIH,4703620107932502,CUT TANIA MEGANTARA,"MOJOKERTO, 19-04-1993",PEREMPUAN,GANG LASWI NO. 17,002/019,BENGKULU,TANJUNGPINANG,KONGHUCU,CERAI HIDUP,TIDAK BEKERJA,WNI,SEUMUR HIDUP,B,22-11-2024,33
PROVINSI BANTEN,KOTA YOGYAKARTA,,TANIA SIREGAR,"BAU-BAU, 29-11-2000",LAKI-LAKI,JL. JEND. SUDIRMAN NO. 424,016/015,BALIKPAPAN,PADANG SIDEMPUAN,ISLAM,KAWIN,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,AB,11-10-2024,26
PROVINSI JAWA BARAT,KOTA BITUNG,9125300209605603,KH. DARUNA RAHAYU,"TANGERANG SELATAN, 25-03-199",PEREMPUAN,JALAN ASIA AFRIKA NO. 2,011/019,JAMBI,TASIKMALAYA,KRISTEN,KAWIN,GURU/DOSEN,WNI,SEUMUR HIDUP,,28-01-2026,
PROVINSI JAWA BARAT,KABUPATEN SERANG,7957701108755722,DR: AMI HUTAPEA,"TOMOHON, 20-01-1948",PEREMPUAN,JALAN PASTEUR NO. 7,005/008,CIREBON,KUPANG,KRISTEN,KAWIN,NELAYAN,WNI,SEUMUR HIDUP,,03-04-2024,78
PROVINSI JAWA TENGAH,KOTA BINJAI,,"GANDEWA LESTARI, M.PD","SUBULUSSALAM, 28-09-1963",PEREMPUAN,GG. H.J MAEMUNAH NO. 224,005/019,MOJOKERTO,METRO,KRISTEN,BELUM KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,B,11-08-2023,63
PROVINSI BALI,KABUPATEN PEKALONGAN,8967291805714559,HARTANA WIJAYANTI,"TANGERANG SELATAN, 11-11-197",LAKI-LAKI,JALAN ANTAPANI LAMA,017/005,PADANGPANJANG,DEPOK,KONGHUCU,KAWIN,PETANI,WNI,SEUMUR HIDUP,AB,12-09-2022,
PROVINSI BALI,KABUPATEN BANDA ACEH,,TITI YULIANTI,"BANDA ACEH, 02-12-2004",PEREMPUAN,JL. KUTAI NO. 27,001/019,DUMAI,PANGKALPINANG,KATOLIK,CERAI MATI,PELAJAR/MAHASISWA,WNI,SEUMUR HIDUP,B,27-03-2025,22
PROVINSI KALIMANTAN TIMUR,KABUPATEN PALU,,DR. TANIA PUSPITA,"KEDIRI , 26-09-2006",LAKI-LAKI,GG. SURAPATI NO. 154,015/018,DEPOK,BANDAR LAMPUNG,KRISTEN,KAWIN,PETANI,WNI,SEUMUR HIDUP,,02-08-2023,20
PROVINSI KALIMANTAN TIMUR,KOTA BATU,7584532112971602,T.WAGE WINARSIH,"CILEGON, 23-11-1981",PEREMPUAN,JALAN PETA NO. 3,011/017,JAMBI,METRO,KATOLIK,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,,23-08-2022,45
PROVINSI DI YOGYAKARTA,KABUPATEN PALEMBANG,5732361910863429,"DRG. GALAK PRAYOGA, S.IP","PURWOKERTO, 26-07-1973",PEREMPUAN,GANG M.T HARYONO NO. 192,005/008,CIREBON,BLITAR,HINDU,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,,06-03-2021,53
PROVINSI JAWA BARAT,KABUPATEN CILEGON,,DRG. TEDI SINAGA,"PURWOKERTO, 23-05-1949",PEREMPUAN,GG. WONOAYU NO. 8,002/016,KUPANG,TIDORE KEPULAUAN,HINDU,CERAI HIDUP,PETANI,WNI,SEUMUR HIDUP,A,24-02-2022,77
PROVINSI JAWA BARAT,KOTA BINJAI,7534131104897209,"TGK. SAADAT PRADIPTA, M.TI.","TUAL, 16-02-1962",PEREMPUAN,JALAN ERLANGGA NO. 281,011/007,PALEMBANG,TEGAL,KRISTEN,CERAI MATI,KARYAWAN SWASTA,WNI,',AB,27-03-2021,64
PROVINSI SUMATERA UTARA,KABUPATEN BANDAR LAMPUNG,,"TGK. AURORA HUTAGALUNG, S.EI","CILEGON, 31-03-1973",LAKI-LAKI,GANG CIUMBULEUIT NO. 9,015/010,BATAM,KENDARI,HINDU,KAWIN,NELAYAN,WNI,SEUMUR HIDUP,AB,22-04-2024,53
PROVINSI JAWA TENGAH,KOTA BIMA,5890711012888944,OSKAR ARYANI,"TUAL, 20-02-1995",LAKI-LAKI,GANG RAJAWALI TIMUR NO. 34,002/018,PAGARALAM,MEDAN,KRISTEN,KAWIN,DOKTER,WNI,SEUMUR HIDUP,,14-06-2024,31
PROVINSI BANTEN,KABUPATEN PASURUAN,1801171109797288,FEBI PUTRA,"TANGERANG SELATAN, 17-08-196",PEREMPUAN,JL. DIPATIUKUR NO. 1,006/005,SURABAYA,BLITAR,ISLAM,KAWIN,PETANI,WNI,SEUMUR HIDUP,,23-08-2023,
PROVINSI JAWA BARAT,KOTA BALIKPAPAN,,"RM. YAHYA SURYATMI, S.IP","SUNGAI PENUH, 07-12-1976",LAKI-LAKI,GG. GARDUJATI NO. 604,005/015,KENDARI,PADANG,HINDU,CERAI HIDUP,GURU/DOSEN,WNI,SEUMUR HIDUP,B,15-08-2021,50
PROVINSI BALI,KOTA CIMAHI,5508592512744814,"CLARA TARIHORAN, S.H:","BUKITTINGGI, 18-07-2004",PEREMPUAN,GG. RAJAWALI TIMUR NO. 2,013/018,BANDA ACEH,PALU,BUDHA,KAWIN,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,,12-09-2025,22
PROVINSI KALIMANTAN TIMUR,KOTA BUKITTINGGI,6412701807635954,"DT. DAGEL HASTUTI, MPD","LANGSA, 15-08-1960",PEREMPUAN,JL. VETERAN NO. 2,003/008,KUPANG,PAYAKUMBUH,KATOLIK,KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,AB,28-12-2023,66
PROVINSI JAWA BARAT,KOTA BANDUNG,7216141907890698,ARIS HALIM,"MADIUN, 13-01-1979",PEREMPUAN,JL. GARDUJATI NO. 77,013/018,BANJARBARU,SIBOLGA,KATOLIK,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,AB,10-10-2022,47
PROVINSI BANTEN,KOTA TANJUNGBALAI,7532371105816622,ULVA SURYONO,"PANGKALPINANG, 06-09-1984",PEREMPUAN,GG. TUBAGUS ISMAIL NO. 7,014/011,CIMAHI,BEKASI,KONGHUCU,CERAI MATI,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,B,26-08-2023,42
PROVINSI DI YOGYAKARTA,KOTA PALEMBANG,8632210706814671,LEMBAH RIYANTI,"JAYAPURA, 16-08-1974",LAKI-LAKI,GANG SENTOT ALIBASA NO. 44,006/002,YOGYAKARTA,JAKARTA SELATAN,KONGHUCU,KAWIN,BURUH,WNI,SEUMUR HIDUP,AB,07-09-2022,52
PROVINSI JAWA BARAT,KABUPATEN SORONG,1376820607845675,NARADI SUDIATI,"PADANG, 24-05-2007",LAKI-LAKI,JALAN SUKABUMI NO. 1,003/013,PALOPO,BINJAI,ISLAM,CERAI HIDUP,PENSIUNAN,WNI,SEUMUR HIDUP,AB,24-01-2025,19
PROVINSI DI YOGYAKARTA,KABUPATEN KEDIRI,,"CINDY PURWANTI, MTI.","METRO, 29-12-1951",LAKI-LAKI,GANG WARINGIN NO. 7,008/006,TANGERANG SELATAN,MATARAM,ISLAM,BELUM KAWIN,GURU/DOSEN,WNI,SEUMUR HIDUP,AB,04-05-2022,75
PROVINSI JAWA BARAT,KABUPATEN SAMARINDA,7241652504730203,DACIN MEGANTARA,"BATU, 02-04-1983",PEREMPUAN,GG. SENTOT ALIBASA NO. 054,010/020,TUAL,MEDAN,BUDHA,CERAI MATI,NELAYAN,WNI,SEUMUR HIDUP,B,22-05-2025,43
PROVINSI JAWA BARAT,KABUPATEN MALANG,3303091002702471,IR: MELINDA DAMANIK,"BALIKPAPAN, 26-08-1958",PEREMPUAN,JL. RAJAWALI TIMUR NO. 6,003/005,PEMATANGSIANTAR,MATARAM,BUDHA,BELUM KAWIN,PENSIUNAN,WNI,SEUMUR HIDUP,A,05-12-2021,68
PROVINSI JAWA TENGAH,KOTA BANDUNG,3848781802624241,RENDY SUWARNO,"PADANGPANJANG, 20-05-1998",PEREMPUAN,GANG BANGKA RAYA NO. 70,013/016,CILEGON,PEKANBARU,HINDU,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,B,05-05-2023,28
PROVINSI JAWA TENGAH,KABUPATEN BANJARBARU,4408961405699310,MUSTOFA HIDAYANTO,"PONTIANAK, 11-11-1972",PEREMPUAN,GANG W.R: SUPRATMAN NO. 03,017/008,JAMBI,JAMBI,KRISTEN,BELUM KAWIN,DOKTER,WNI,SEUMUR HIDUP,B,20-04-2025,54
PROVINSI SULAWESI SELATAN,KABUPATEN BUKITTINGGI,5609412406905859,NARDI HUTAGALUNG,"JAKARTA UTARA, 11-07-1950",PEREMPUAN,GG. SUKABUMI NO. 2,013/004,TEGAL,PEKANBARU,KONGHUCU,KAWIN,GURU/DOSEN,WNI,SEUMUR HIDUP,B,08-11-2024,76
PROVINSI JAWA TENGAH,KABUPATEN KOTAMOBAGU,3108030712980794,"TGK. IRSAD HALIM, S.EI","BITUNG, 26-01-2006",PEREMPUAN,JL. KAPTEN MUSLIHAT NO. 95,015/013,BATU,MANADO,KRISTEN,KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,AB,03-02-2023,20
PROVINSI KALIMANTAN TIMUR,KOTA PADANG SIDEMPUAN,4396201709612784,TGK. CAHYANTO JANUAR,MANADO; 18-02-1970,LAKI-LAKI,GG. SUKABUMI NO. 742,004/008,SUBULUSSALAM,SUNGAI PENUH,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,AB,08-10-2021,56
PROVINSI JAWA TIMUR,KABUPATEN MEULABOH,9873600505704588,TEGUH LATUPONO,"BAU-BAU, 04-01-1951",LAKI-LAKI,GANG BANGKA RAYA NO. 42,002/012,LANGSA,PEKALONGAN,BUDHA,CERAI HIDUP,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,AB,16-06-2023,75
PROVINSI BALI,KABUPATEN SUKABUMI,3283331704779305,MANAH PRATIWI,"MAGELANG, 04-11-2000",PEREMPUAN,GG. GARDUJATI NO. 802,004/018,DUMAI,TIDORE KEPULAUAN,KATOLIK,KAWIN,DOKTER,WNI,SEUMUR HIDUP,,11-05-2021,26
PROVINSI SUMATERA UTARA,KABUPATEN BANDA ACEH,,IR. GALAK WINARNO,"SIBOLGA, 05-01-2003",PEREMPUAN,GG. MOCH. TOHA NO. 3,004/006,BATAM,SURABAYA,BUDHA,KAWIN,DOKTER,WNI,SEUMUR HIDUP,B,14-08-2022,23
PROVINSI JAWA TIMUR,KABUPATEN TUAL,4379242104644121,ELLIS ARYANI,"SERANG, 14-04-1970",LAKI-LAKI,JALAN AHMAD DAHLAN NO. 469,015/006,PRABUMULIH,PEKALONGAN,KATOLIK,BELUM KAWIN,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,AB,24-08-2024,56
PROVINSI DKI JAKARTA,KOTA TASIKMALAYA,1937602804789589,EVA MAYASARI,"TANGERANG, 08-09-1964",PEREMPUAN,JL. GEDEBAGE SELATAN NO. 2,007/004,TANJUNGPINANG,MANADO,HINDU,BELUM KAWIN,DOKTER,WNI,SEUMUR HIDUP,A,04-09-2025,62
PROVINSI DI YOGYAKARTA,KABUPATEN PAYAKUMBUH,1648152202639815,YOSEF HARYANTI,"SINGKAWANG, 24-07-1998",LAKI-LAKI,GG. DR. DJUNJUNAN NO. 4,013/008,SEMARANG,TANJUNGBALAI,KATOLIK,BELUM KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,B,27-02-2025,28
PROVINSI DKI JAKARTA,KABUPATEN MAKASSAR,,HJ. FEBI PRATAMA,"PAREPARE, 14-04-1956",LAKI-LAKI,GANG ASTANA ANYAR NO. 93,011/019,MALANG,TANGERANG,KRISTEN,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,A,22-08-2025,70
PROVINSI JAWA TIMUR,KOTA MALANG,3423691411959489,UMAYA SIMBOLON,"MALANG, 18-12-1992",PEREMPUAN,JL. AHMAD DAHLAN NO. 0,018/011,CIREBON,JAMBI,KRISTEN,BELUM KAWIN,BURUH,WNI,SEUMUR HIDUP,AB,10-08-2023,34
PROVINSI DKI JAKARTA,KOTA PAREPARE,1279052610987094,SALMAN SIHOMBING,"SABANG, 06-10-1951",PEREMPUAN,GANG DR: DJUNJUNAN NO. 5,015/011,TANJUNGBALAI,MANADO,ISLAM,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,,02-01-2024,75
PROVINSI JAWA TENGAH,KOTA GORONTALO,,"DRS. DIRJA MAHESWARA, S.PT","KUPANG, 30-01-1999",PEREMPUAN,JL. OTTO ISKANDARDINATA NO,012/006,SUKABUMI,KUPANG,HINDU,CERAI MATI,BURUH,WNI,SEUMUR HIDUP,,21-12-2022,27
PROVINSI JAWA TIMUR,KABUPATEN TIDORE KEPULAUAN,1494362303921108,RM. JAGA PRAYOGA,"PALANGKARAYA, 30-03-1998",PEREMPUAN,GG. DIPENOGORO NO. 614,003/011,SORONG,BATAM,HINDU,BELUM KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,A,28-10-2023,28
PROVINSI BALI,KABUPATEN SURAKARTA,5189980808672409,"LAILA SIHOMBING, S.E","BLITAR, 06-07-1954",PEREMPUAN,JALAN SUNIARAJA NO. 5,001/014,SAWAHLUNTO,SURAKARTA,KONGHUCU,CERAI HIDUP,KARYAWAN SWASTA,WNI,SEUMUR HIDUP,B,16-04-2025,72
PROVINSI JAWA TENGAH,KOTA SUKABUMI,,RUSMAN KUSUMO,"CILEGON, 02-05-1948",LAKI-LAKI,GG. JOYOBOYO NO. 25,018/018,JAKARTA SELATAN,PALEMBANG,KONGHUCU,KAWIN,DOKTER,WNI,SEUMUR HIDUP,,23-11-2024,78
PROVINSI DKI JAKARTA,KABUPATEN CIREBON,7005701511845269,"SABAR PRABOWO, S.H.","BATU, 26-08-1998",LAKI-LAKI,GANG WONOAYU NO. 066,006/009,LUBUKLINGGAU,TANJUNGPINANG,ISLAM,BELUM KAWIN,DOKTER,WNI,SEUMUR HIDUP,B,02-02-2026,28
PROVINSI BANTEN,KOTA PASURUAN,9431460703928970,KH. GANDI PRASASTA,"PASURUAN, 19-03-1954",LAKI-LAKI,GANG IR. H. DJUANDA NO. 09,008/015,BINJAI,SUBULUSSALAM,BUDHA,CERAI HIDUP,TIDAK BEKERJA,WNI,SEUMUR HIDUP,A,10-12-2021,72
PROVINSI DKI JAKARTA,KOTA SUBULUSSALAM,1694440106613397,ARTAWAN YULIARTI,"JAYAPURA, 09-01-1972",PEREMPUAN,GANG KAPTEN MUSLIHAT NO. 1,014/018,CILEGON,MEDAN,KATOLIK,KAWIN,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,A,19-03-2023,54
PROVINSI JAWA TIMUR,KOTA KOTA ADMINISTRASI JAKARTA BARAT,4095400509954965,"RADITYA USADA, S.IKOM","KENDARI, 14-01-1965",PEREMPUAN,GG. ABDUL MUIS NO. 39,019/009,MEULABOH,TANJUNGBALAI,KONGHUCU,KAWIN,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,B,05-06-2023,61
PROVINSI DI YOGYAKARTA,KOTA BLITAR,3729142802874498,"CAHYA RAHAYU, MFARM","LUBUKLINGGAU, 09-07-1955",PEREMPUAN,GANG CIHAMPELAS NO. 00,012/007,BITUNG,PAREPARE,KATOLIK,BELUM KAWIN,TIDAK BEKERJA,WNI,SEUMUR HIDUP,AB,28-08-2021,71
PROVINSI SUMATERA UTARA,KOTA PAREPARE,1857211308803485,KUNTHARA HARDIANSYAH,"PARIAMAN, 01-12-1950",LAKI-LAKI,GG. MH THAMRIN NO. 19,011/006,PALU,MALANG,KATOLIK,KAWIN,WIRASWASTA,WNI,SEUMUR HIDUP,AB,17-10-2024,76
PROVINSI JAWA BARAT,KABUPATEN DEPOK,5534592209855953,DR: FATHONAH SUSANTI,"KEDIRI, 05-05-1962",LAKI-LAKI,GANG ANTAPANI LAMA NO. 7,008/014,SAMARINDA,PANGKALPINANG,KATOLIK,KAWIN,BURUH,WNI,SEUMUR HIDUP,,31-12-2023,64
PROVINSI JAWA BARAT,KOTA METRO,1416332507627974,ULVA USADA,"DENPASAR, 15-09-1989",PEREMPUAN,JALAN CIHAMPELAS NO. 242,001/010,SINGKAWANG,PAREPARE,BUDHA,CERAI HIDUP,WIRASWASTA,WNI,SEUMUR HIDUP,,07-05-2025,37
PROVINSI JAWA BARAT,KOTA PANGKALPINANG,1368621809905488,DRG. TEGUH GUNAWAN,"BEKASI, 17-11-2008",LAKI-LAKI,JALAN ASTANA ANYAR NO. 1,007/013,MANADO,PAYAKUMBUH,ISLAM,CERAI MATI,PETANI,WNI,SEUMUR HIDUP,AB,05-02-2024,18
PROVINSI BALI,KABUPATEN TASIKMALAYA,7485721703875844,"DR. GALAK UWAIS, S.PT","PAYAKUMBUH, 31-07-1951",PEREMPUAN,GANG ANTAPANI LAMA NO. 10,016/019,JAKARTA UTARA,CILEGON,BUDHA,CERAI MATI,WIRASWASTA,WNI,SEUMUR HIDUP,AB,01-07-2021,75
PROVINSI BANTEN,KOTA LANGSA,4255090804720991,BAHUWARNA SAMOSIR,"TANJUNGBALAI, 27-08-1981",PEREMPUAN,GG. GEGERKALONG HILIR NO.,018/017,TOMOHON,BEKASI,KATOLIK,CERAI HIDUP,PENSIUNAN,WNI,SEUMUR HIDUP,A,17-12-2025,45
PROVINSI BALI,KABUPATEN BAU-BAU,,"MARAS HASSANAH, M.TI.","TEGAL, 06-05-2008",LAKI-LAKI,GG. GARDUJATI NO. 1,020/008,YOGYAKARTA,PADANGPANJANG,KATOLIK,BELUM KAWIN,PEGAWAI NEGERI SIPIL,WNI,SEUMUR HIDUP,B,19-09-2022,18
